portfolio,cutoff,approved_loans,approval_rate_pct,approved_volume_usd,volume_share_pct,volume_lost_pct,approved_bad_rate_pct,approved_mean_pd_pct,expected_loss_usd,el_rate_pct,el_rate_reduction_pct,el_absolute_reduction_pct,rejected_good_loans,rejected_good_share_pct,rejected_bad_share_pct,rejected_bad_rate_pct
gesamt (2007-2018),510,1178303,87.405,16228334025.0,83.596,16.404,16.733,14.777,1532201075.365,9.442,22.11,34.888,97603,9.048,26.802,42.517
gesamt (2007-2018),515,1118351,82.958,15193895850.0,78.267,21.733,15.912,13.969,1340145846.533,8.82,27.235,43.049,138337,12.824,33.936,39.788
gesamt (2007-2018),520,1045426,77.548,14020979950.0,72.225,27.775,15.015,13.104,1147895500.528,8.187,32.46,51.219,190281,17.639,41.726,37.133
gesamt (2007-2018),525,956313,70.938,12691294575.0,65.376,34.624,13.995,12.17,956820301.433,7.539,37.804,59.339,256261,23.756,50.314,34.592
gesamt (2007-2018),530,850544,63.092,11211223775.0,57.751,42.249,12.878,11.173,771190174.161,6.879,43.253,67.227,337724,31.307,59.337,32.123
gesamt (2007-2018),535,730393,54.179,9614754000.0,49.528,50.472,11.689,10.128,597331134.492,6.213,48.747,74.616,433725,40.207,68.303,29.785
gesamt (2007-2018),540,602872,44.72,7969702800.0,41.054,58.946,10.432,9.069,442660326.425,5.554,54.179,81.189,538761,49.944,76.651,27.705
gesamt (2007-2018),545,477314,35.406,6377060775.0,32.85,67.15,9.182,8.032,313851965.342,4.922,59.398,86.663,645251,59.815,83.73,25.9
gesamt (2007-2018),550,362593,26.897,4917910975.0,25.333,74.667,8.001,7.045,212671359.863,4.324,64.325,90.962,745158,69.077,89.229,24.388
gesamt (2007-2018),555,266165,19.744,3676650625.0,18.939,81.061,6.914,6.144,139137859.022,3.784,68.78,94.087,830976,77.032,93.168,23.195
gesamt (2007-2018),560,188887,14.011,2654335100.0,13.673,86.327,5.962,5.334,87496702.152,3.296,72.806,96.282,901113,83.534,95.819,22.265
gesamt (2007-2018),565,130752,9.699,1862189300.0,9.593,90.407,5.095,4.633,53451153.204,2.87,76.321,97.729,954649,88.497,97.527,21.58
gesamt (2007-2018),570,87650,6.502,1258265075.0,6.482,93.518,4.265,4.024,31404176.045,2.496,79.41,98.665,994827,92.221,98.612,21.074
gesamt (2007-2018),575,56927,4.223,818626450.0,4.217,95.783,3.638,3.505,17786972.988,2.173,82.075,99.244,1023883,94.915,99.231,20.701
gesamt (2007-2018),580,35059,2.601,506682600.0,2.61,97.39,3.103,3.05,9582864.357,1.891,84.397,99.593,1044768,96.851,99.596,20.431
gesamt (2007-2018),585,20473,1.519,296573300.0,1.528,98.472,2.652,2.661,4891405.917,1.649,86.394,99.792,1058809,98.152,99.798,20.248
gesamt (2007-2018),590,10903,0.809,158085375.0,0.814,99.186,2.21,2.321,2274784.032,1.439,88.129,99.903,1068077,99.012,99.911,20.126
gesamt (2007-2018),595,5032,0.373,73319325.0,0.378,99.622,1.709,2.016,917620.583,1.252,89.675,99.961,1073793,99.542,99.968,20.049
gesamt (2007-2018),600,1985,0.147,28647225.0,0.148,99.852,1.864,1.755,312132.889,1.09,91.011,99.987,1076791,99.819,99.986,20.007
gesamt (2007-2018),605,584,0.043,8259750.0,0.043,99.957,1.712,1.523,78005.891,0.944,92.209,99.997,1078165,99.947,99.996,19.989
gesamt (2007-2018),610,109,0.008,1588025.0,0.008,99.992,2.752,1.32,13117.982,0.826,93.185,99.999,1078633,99.99,99.999,19.982
gesamt (2007-2018),615,8,0.001,86850.0,0.0,100.0,0.0,1.127,603.163,0.694,94.271,100.0,1078731,99.999,100.0,19.981
